description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
Metabolism	R-HSA-1430728	477	2208	2174	10987	0.0093646734705295	0.12472574478561477	1.091789453421863	0	ASRGL1, MED4, ENO4, RRM2B, PSMD14, CERS1, FAR1, PCK1, GPAT4, MED12, RPL14, GBE1, ACOT13, SULT1A2, PSME1, CA3, NDUFAF3, CKMT2, PGM2L1, HPRT1, RPS27A, NFYB, NDUFA5, A4GALT, ENOPH1, BMX, NNT, NDUFB9, KYAT3, SLC25A18, MMADHC, SLC9A1, UGP2, TNFAIP8L3, HLCS, ACSS1, COX6A2, TECRL, NNMT, PSMB3, RPL22, CERT1, RPL18A, UCK2, NDUFA4, NDUFS3, RPS3, ADH5, HADHB, PFKP, PSMC5, HYAL1, RPE, AMD1, HSP90AB1, MED9, IMPA1, RMND5A, PYGL, IVD, FAU, PTGR2, PSMD10, PLA2G4E, SLC25A44, STK11, FASN, DERA, PPCS, SIRT4, HMGCS1, HS3ST6, SPR, BHMT2, TBL1XR1, APOB, PPP2R5D, MED15, NDUFS1, SCO1, MED24, ADH1B, ASPG, SDC4, BDH1, HAAO, HIBCH, GPC4, PLD2, UQCRH, GUK1, PPP1CB, TACO1, GLUL, ALDOB, ENTPD7, ACSL3, COX7A1, SEC24C, PIK3C2A, GLRX5, NT5E, LPIN1, RPS9, NDUFB10, UBC, DSEL, FABP3, SCD, PRELP, HILPDA, TMEM223, ADCY6, DLD, NFS1, DLST, OAT, PGK1, GPT2, PDHX, PDP1, FUT5, AHCY, CHST11, ADCY2, NDUFB6, MED14, NUP37, GNAI2, HADHA, SLC36A4, PPM1K, ATP5F1E, SLC22A5, UROD, RPS4Y1, PDXK, DGAT1, NDUFA13, MFSD2A, HSP90AA1, MED1, RBP4, BMAL1, ETFDH, FABP4, RPL8, ISCA1, CHDH, SAR1B, LARS1, AK1, ENTPD8, OSBP, CHST7, MAT2B, AKR1C3, TYMS, RPL36, RAE1, NDUFAF1, RPS16, RPL5, GAA, PFKM, IDH3G, SUMF1, RPL28, ALDH1L1, KCNS3, COX6A1, COA3, PSMA5, UBB, HSCB, RPL3L, SLC52A1, PSMC6, PSMA4, RPL17, LYRM2, IDO1, ISCA2, ALOX5AP, FTCD, ATP5MK, NUDT5, ETFA, ACSS2, TNFRSF21, ATP5F1D, PFAS, CD36, CSNK1G2, ACAT1, MTMR3, ACADS, NMRK2, MAN2B1, SRD5A2, PSMD3, SLC52A2, SCD5, PGM1, PNPLA4, OSBPL2, MKLN1, ACY1, GYG1, SDC3, AGT, SEC24D, PSMD4, ENO3, PLA2G2A, STARD7, PDHA2, TXN2, UCP2, PSMB4, GSTA4, GNG10, IDS, ADH1A, ANKRD1, MED23, NUDT11, PANK1, COX17, HSD17B7, DHRS7B, PPIP5K2, RPL13, COX8A, GALT, PKLR, FLVCR1, KYNU, LPL, LDHB, NUDT15, GK, ORMDL2, UQCRFS1, ATP5MC1, SLC19A2, THTPA, RPL27A, THEM4, PRKCA, TXNRD1, RPS3A, NDUFV2, PHKA1, ALDOA, RPL29, ATP5F1A, RIMKLB, ACER2, GNG7, CPNE3, GNAS, ACER3, ACSL1, DCXR, MBOAT1, ACADVL, PPIP5K1, ECHS1, ESRRA, IARS1, EXT1, PSMC1, ADSS1, STARD5, HADH, SLC37A1, CYP1A1, COQ6, PHGDH, AKR1C1, SUMF2, BPGM, TNFAIP8L2, PFKFB4, MPST, PRKAR2A, ACOT2, OXCT1, IMPDH2, HIGD2A, QARS1, DNPH1, ACSBG1, GLUD1, KCNG2, POM121, SUOX, ATP5F1B, GNAQ, GNPAT, PGM2, GPAT3, NME2, RPS28, NT5C2, NUP43, CTH, AKR1C2, RPL9, NUBP1, NAMPT, AK4, CYP11B2, IDH3A, RPIA, SLCO2B1, INSIG2, SLC35B2, MSMO1, AMN, MCAT, PPP2R1B, PYGM, INPP1, RAN, AASS, GART, KDSR, ENTPD1, COQ9, FBP2, FUT4, PTGIS, FOLR2, CYP2A6, LYRM4, RPL36A, SLC35D1, GPD1, PRPS2, NDUFS2, NUP62, SDHAF2, NDUFC1, AOX1, UMPS, ATP5PD, HACD4, PXMP2, ADH1C, PTGES3, AGXT, B4GAT1, ALDH18A1, PTGR1, GPT, RPL7A, HS3ST2, IMPA2, FDPS, PANK4, UQCC3, ESD, PDHA1, MED29, MAN2B2, PSMA6, PRPS1, HMGCS2, B3GNT2, ALAD, PSPH, RPL11, HCCS, PSMC3, PTPMT1, SPTLC1, ALAS1, PHKG1, MGST2, GPX1, PET117, EPM2A, OLAH, ATP5MG, SAMD8, SULT2A1, GM2A, PSMA7, CKM, HS3ST4, COX15, FITM1, GLIPR1, SAT1, BPNT2, TECR, CYP2A13, CYP4V2, UQCC1, ACADL, ATP5PO, MLYCD, MAOA, NUP214, PLIN2, CYP19A1, ARSG, GPD2, HIBADH, GLB1L, CRLS1, ECSIT, ACOT1, PRKAA2, MDH1, IDI2, NUDT18, NUP133, CYP4F8, ALDH3A2, SUCLA2, COX11, SLC25A17, PLCH1, HACD1, CYP26A1, RPS4Y2, HMGCL, COQ8A, UCP3, SARS1, PLEKHA1, CDK8, RPS8, MED17, NT5M, RBP2, HIGD1A, BGN, GPC2, RUFY1, IDH3B, ACACA, CYP26C1, COX14, ADIPOR2, OGDH, CRYL1, MCCC1, SDHA, COX4I1, ARSA, B3GALT1, SERINC1, PGAM2, SEPHS2, ACBD4, RPL21, ACAA2, MID1IP1, MAT2A, NUP155, UQCRC2, RPLP0, PSMD6, NT5C, PI4K2B, ACOX1, RPL10L, NT5C1A, SLCO1A2, PPP1R3C, NDUFB7, MTHFR, HGSNAT
Gap-filling DNA repair synthesis and ligation in TC-NER	R-HSA-6782210	21	2208	63	10987	0.009353106877500439	0.12472574478561477	1.658665458937198	0	CDK7, RPS27A, POLR2G, POLR2J, GTF2H1, POLE4, UBC, POLR2B, POLR2K, PRPF19, POLE2, POLK, UBB, RFC4, CUL4A, ERCC3, RPA1, DDB1, PPIE, POLR2C, CCNH
Mitotic G1 phase and G1/S transition	R-HSA-453279	42	2208	148	10987	0.009470685226028838	0.12535422494824505	1.4121070799059932	0	PSMD14, CDK7, CCND1, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, GMNN, ORC4, POLE4, UBC, CABLES1, CCND3, CKS1B, TYMS, POLE2, PSMA5, UBB, PSMC6, PSMA4, PPP2R3B, PSMD3, CDKN2B, PSMD4, PSMB4, PSMC1, RB1, E2F6, PPP2R1B, PSMA6, CDKN1C, PSMC3, WEE1, PSMA7, RPA1, TFDP1, LIN54, CCNH, PSMD6, PPP2R2A, CDKN1B
G1/S DNA Damage Checkpoints	R-HSA-69615	22	2208	67	10987	0.009610959121183064	0.12642564127926612	1.6339092580575383	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, TP53, PSMD3, PSMD4, PSMB4, PSMC1, PSMA6, PSMC3, PSMA7, PHF20, PSMD6, CDKN1B
Signaling by the B Cell Receptor (BCR)	R-HSA-983705	33	2208	111	10987	0.009781795495714297	0.1271036963497998	1.4793502741872309	0	PSMD14, PSME1, PTPN6, RPS27A, PSMB3, PSMC5, PSMD10, HRAS, UBC, ORAI2, PSMA5, UBB, PSMC6, PSMA4, RASGRP1, PSMD3, PSMD4, PSMB4, CHUK, CD22, PSMC1, BCL10, NFATC3, BLNK, PSMA6, PSMC3, PSMA7, CD79A, NCK1, SH3KBP1, FKBP1A, PSMD6, NFATC2
Downregulation of SMAD2/3:SMAD4 transcriptional activity	R-HSA-2173795	12	2208	30	10987	0.009775550280760483	0.1271036963497998	1.9903985507246376	0	RPS27A, TRIM33, UBC, STAT1, UBB, UBE2D1, SKI, SNW1, SMURF2, UBE2D3, ATP1B4, PPM1A
Protein ubiquitination	R-HSA-8852135	25	2208	79	10987	0.01006468487940541	0.12949944697064675	1.574682397725188	0	UBE2H, RPS27A, UBE2V2, H2BC15, H2BC7, H2BC9, UBC, RNF144A, PAF1, UBB, PEX5, H2BC14, RRAGA, UBE2E3, UCHL3, UBE2D1, SKIC8, UBE2B, UBE2E1, UBE2W, BCL10, UBE2Q2, RTF1, UBE2D3, RAD18
Mitotic Anaphase	R-HSA-68882	62	2208	234	10987	0.010087709149285482	0.12949944697064675	1.31842639043726	0	DYNC1LI2, PSMD14, PSME1, CDC20, RCC1, RPS27A, PAFAH1B1, PSMB3, PSMC5, PSMD10, XPO1, ANAPC5, PPP2R5D, CDC26, UBC, ANAPC15, NUP37, DYNC1I2, EMD, PSMA5, UBB, RAD21, PSMC6, PSMA4, BANF1, MAPRE1, PSMD3, CENPC, SIRT2, PSMD4, PSMB4, UBE2D1, SUMO1, CDC27, PPP2R5A, SKA2, PSMC1, IST1, POM121, UBE2E1, NUP43, PPP2R1B, RAN, KIF18A, NUP62, ITGB3BP, PSMA6, PSMC3, CENPN, VPS4A, PSMA7, LEMD2, ZWILCH, NUP133, ZW10, ANAPC16, DSN1, VRK2, NUP155, PSMD6, PPP2R2A, STAG1
PCP/CE pathway	R-HSA-4086400	28	2208	91	10987	0.010151760528984064	0.12954132746865293	1.5310758082497213	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, DVL2, UBC, FZD3, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, PRKCA, PSMC1, AP2S1, WNT1, RAC2, SMURF2, PSMA6, PSMC3, PSMA7, CLTB, DVL1, PSMD6
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	R-HSA-6804115	9	2208	20	10987	0.010241762038584233	0.12991187442989882	2.2391983695652176	0	TNKS1BP1, PLAGL1, CNOT8, TP53, RGCC, NPM1, CNOT10, BTG2, CNOT2
HIV Life Cycle	R-HSA-162587	42	2208	149	10987	0.010689143100783512	0.13478440205780867	1.4026298511817918	0	CDK7, TAF7, CCNK, RCC1, RPS27A, VPS37D, POLR2G, HMGA1, POLR2J, XPO1, GTF2H1, GTF2A1, TAF13, KPNA1, UBC, POLR2B, UBAP1, POLR2K, SSRP1, NUP37, RAE1, SUPT5H, UBB, BANF1, CD4, TSG101, POM121, NUP43, RAN, NUP62, TAF5, GTF2B, VPS37B, VPS4A, ERCC3, NUP214, GTF2A2, NUP133, POLR2C, CCNH, NUP155, TAF2
Mitotic Metaphase and Anaphase	R-HSA-2555396	62	2208	235	10987	0.011083695223618606	0.13893737953841911	1.3128160653715695	0	DYNC1LI2, PSMD14, PSME1, CDC20, RCC1, RPS27A, PAFAH1B1, PSMB3, PSMC5, PSMD10, XPO1, ANAPC5, PPP2R5D, CDC26, UBC, ANAPC15, NUP37, DYNC1I2, EMD, PSMA5, UBB, RAD21, PSMC6, PSMA4, BANF1, MAPRE1, PSMD3, CENPC, SIRT2, PSMD4, PSMB4, UBE2D1, SUMO1, CDC27, PPP2R5A, SKA2, PSMC1, IST1, POM121, UBE2E1, NUP43, PPP2R1B, RAN, KIF18A, NUP62, ITGB3BP, PSMA6, PSMC3, CENPN, VPS4A, PSMA7, LEMD2, ZWILCH, NUP133, ZW10, ANAPC16, DSN1, VRK2, NUP155, PSMD6, PPP2R2A, STAG1
Dual incision in TC-NER	R-HSA-6782135	21	2208	64	10987	0.011346003150374236	0.14057170182236917	1.6327488111413044	0	CDK7, RPS27A, POLR2G, POLR2J, GTF2H1, POLE4, UBC, POLR2B, POLR2K, PRPF19, POLE2, POLK, UBB, RFC4, CUL4A, ERCC3, RPA1, DDB1, PPIE, POLR2C, CCNH
Hedgehog ligand biogenesis	R-HSA-5358346	21	2208	64	10987	0.011346003150374236	0.14057170182236917	1.6327488111413044	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, PSMC1, SYVN1, PSMA6, PSMC3, PSMA7, NOTUM, PSMD6
Membrane binding and targetting of GAG proteins	R-HSA-174490	7	2208	14	10987	0.011873497352647448	0.1440473559365772	2.4879981884057973	0	RPS27A, VPS37D, UBC, UBAP1, UBB, TSG101, VPS37B
Pexophagy	R-HSA-9664873	6	2208	11	10987	0.011896919120055178	0.1440473559365772	2.714179841897233	0	RPS27A, UBC, SQSTM1, UBB, PEX5, USP30
Nuclear events mediated by NFE2L2	R-HSA-9759194	29	2208	96	10987	0.011784890279949374	0.1440473559365772	1.5031655721618356	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, CCL2, UBC, KEAP1, EGF, SQSTM1, MAFG, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, TXNRD1, SRXN1, ATF4, PSMC1, PSMA6, PSMC3, PSMA7, PRKAA2, SLC7A11, PSMD6
Synthesis And Processing Of GAG, GAGPOL Polyproteins	R-HSA-174495	7	2208	14	10987	0.011873497352647448	0.1440473559365772	2.4879981884057973	0	RPS27A, VPS37D, UBC, UBAP1, UBB, TSG101, VPS37B
SARS-CoV-1 Infection	R-HSA-9678108	40	2208	142	10987	0.012649052865634619	0.15228887941619984	1.4016891202286181	0	RPS27A, MAVS, RPS3, FAU, NLRP3, RPS9, UBC, YWHAB, ST6GAL1, YWHAQ, RPS4Y1, ST6GALNAC2, RPS16, UBB, PSMC6, PKLR, NPM1, SIKE1, ACE2, SUMO1, RPS3A, TMPRSS2, TLR7, IKBKE, RB1, PPIB, RPS28, YWHAZ, TOMM70, PDPK1, HNRNPA1, PPIH, IFIH1, PCBP2, RPS4Y2, RPS8, MGAT1, RIPK3, FKBP1A, ST6GALNAC4
Assembly of the pre-replicative complex	R-HSA-68867	39	2208	138	10987	0.012957896022729481	0.1526148699387482	1.4062598456206679	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, GMNN, H3C11, ANAPC5, H2BC15, CDC26, H2BC7, ORC4, KPNA1, H2BC9, UBC, ANAPC15, PSMA5, UBB, PSMC6, H2BC14, PSMA4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, H4C5, PSMC1, H2AZ2, UBE2E1, PSMA6, PSMC3, PSMA7, H4C15, H2AJ, ANAPC16, H4C2, PSMD6
M-decay: degradation of maternal mRNAs by maternally stored factors	R-HSA-9820841	10	2208	24	10987	0.012962595710423942	0.1526148699387482	2.0733318236714977	0	DICER1, TNKS1BP1, EIF4A2, EIF4B, ZFP36L2, CNOT8, CNOT10, EIF4G1, PAIP1, CNOT2
Cytosolic tRNA aminoacylation	R-HSA-379716	10	2208	24	10987	0.012962595710423942	0.1526148699387482	2.0733318236714977	0	NARS1, WARS1, YARS1, LARS1, AARS1, CARS1, IARS1, QARS1, TARS1, SARS1
MicroRNA (miRNA) biogenesis	R-HSA-203927	10	2208	24	10987	0.012962595710423942	0.1526148699387482	2.0733318236714977	0	POLR2G, DICER1, DGCR8, POLR2J, POLR2B, POLR2K, AGO1, RAN, PRKRA, POLR2C
Regulation of actin dynamics for phagocytic cup formation	R-HSA-2029482	20	2208	61	10987	0.013404983746699147	0.15695615584734002	1.6314742219054408	0	FCGR2A, HSP90AB1, CRK, HSP90AA1, PTK2, ARPC2, ARPC1A, WIPF1, VAV2, CFL1, ARPC1B, ABI1, MYO5A, ACTB, NCKAP1L, CDC42, NCK1, MYH2, CD3G, WASF2
Metabolism of carbohydrates	R-HSA-71387	74	2208	290	10987	0.013561857708898258	0.15792523922219776	1.2697370064967517	0	ENO4, PCK1, GBE1, PGM2L1, RPS27A, SLC9A1, UGP2, PFKP, HYAL1, RPE, PYGL, DERA, HS3ST6, PPP2R5D, SDC4, GPC4, ALDOB, UBC, DSEL, PRELP, PGK1, FUT5, CHST11, NUP37, CHST7, RAE1, GAA, PFKM, UBB, MAN2B1, PGM1, GYG1, SDC3, ENO3, IDS, GALT, PKLR, PHKA1, ALDOA, DCXR, EXT1, SLC37A1, BPGM, PFKFB4, POM121, PGM2, NUP43, RPIA, SLC35B2, PPP2R1B, PYGM, FBP2, FUT4, PRPS2, NUP62, B4GAT1, HS3ST2, MAN2B2, PRPS1, B3GNT2, PHKG1, EPM2A, HS3ST4, NUP214, GLB1L, NUP133, BGN, GPC2, CRYL1, B3GALT1, PGAM2, NUP155, PPP1R3C, HGSNAT
RUNX1 regulates transcription of genes involved in differentiation of HSCs	R-HSA-8939236	36	2208	126	10987	0.013878032967053236	0.1602622216279992	1.4217132505175982	0	PSMD14, CDK7, PSME1, RPS27A, PSMB3, KMT2A, PSMC5, PSMD10, H3C11, H2BC15, H2BC7, H2BC9, UBC, TCF12, PSMA5, UBB, PSMC6, H2BC14, PSMA4, PSMD3, PSMD4, PSMB4, GATA3, H4C5, PSMC1, H2AZ2, PSMA6, PSMC3, PSMA7, H4C15, LDB1, GATA2, H2AJ, CCNH, H4C2, PSMD6
Protein localization	R-HSA-9609507	45	2208	164	10987	0.013912956828334044	0.1602622216279992	1.3653648594909864	0	ATAD1, TIMM17B, DNAJC19, RPS27A, TOMM40, TIMM44, PMPCB, SERP1, UBC, HSPD1, UBL4A, BAG6, IDH3G, MPV17, EMD, UBB, HSCB, PEX19, PEX5, GFER, COX17, UBE2D1, ATP5MC1, ATP5F1A, GET4, ACOT2, ZFAND6, ATP5F1B, GNPAT, CAMLG, TIMM8A, SLC25A6, PXMP2, TOMM70, AGXT, UBE2D3, MLYCD, PEX11B, ABCD3, ALDH3A2, SLC25A17, HMGCL, PEX6, ACOX1, PITRM1
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	R-HSA-6781827	24	2208	77	10987	0.014018817024880977	0.16061343591409336	1.5509599096555617	0	COPS2, CDK7, COPS5, RPS27A, POLR2G, POLR2J, COPS6, GTF2H1, POLE4, UBC, POLR2B, POLR2K, PRPF19, POLE2, POLK, UBB, RFC4, CUL4A, ERCC3, RPA1, DDB1, PPIE, POLR2C, CCNH
Aberrant regulation of mitotic cell cycle due to RB1 defects	R-HSA-9687139	13	2208	35	10987	0.01460949700303561	0.16560020273121748	1.848227225672878	0	CCND1, ANAPC5, CDC26, ANAPC15, CCND3, UBE2D1, CDC27, RB1, UBE2E1, CDKN1C, TFDP1, ANAPC16, CDKN1B
Negative regulators of DDX58/IFIH1 signaling	R-HSA-936440	13	2208	35	10987	0.01460949700303561	0.16560020273121748	1.848227225672878	0	TRIM4, RPS27A, MAVS, UBC, UBB, TNFAIP3, UBA7, UBE2D1, ATG5, IKBKE, UBE2D3, IFIH1, PCBP2
Branched-chain amino acid catabolism	R-HSA-70895	9	2208	21	10987	0.014782091415363463	0.1666700360113203	2.1325698757763973	0	IVD, SLC25A44, HIBCH, DLD, PPM1K, ACAT1, ECHS1, HIBADH, MCCC1
Somitogenesis	R-HSA-9824272	18	2208	54	10987	0.015450043335758404	0.173284433413164	1.658665458937198	0	PSMD14, PSME1, PSMB3, PSMC5, PSMD10, PSMA5, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, PSMC1, PSMA6, PSMC3, HES7, PSMA7, RIPPLY2, PSMD6
DNA Repair	R-HSA-73894	83	2208	332	10987	0.015762164418090994	0.17585954123011469	1.2439990942028987	0	COPS2, CDK7, COPS5, USP45, RPS27A, EYA4, NBN, POLR2G, TDP2, EYA3, UBE2V2, POLR2J, COPS6, H2BC15, FANCD2, H2BC7, GTF2H1, BRCA1, POLE4, H2BC9, RHNO1, SUMO3, RBBP8, UBC, ASCC1, POLR2B, POLR2K, PAXIP1, NEIL1, PRPF19, MPG, POLE2, POLK, UBB, H2BC14, RAD9A, INO80B, RFC4, ACTL6A, ASCC2, TP53, INO80D, RAD51C, UBA7, WDR48, CUL4A, GEN1, RAD52, RIF1, BAP1, SUMO1, UBE2B, RAD51B, H4C5, PIAS3, H2AZ2, NEIL2, RAD1, REV1, POT1, PPP4C, NHEJ1, PNKP, RNF8, BRCA2, PPP4R2, ACTB, H4C15, ERCC3, RPA1, APEX1, DDB1, PPIE, POLR2C, H3-4, SPIDR, H2AJ, RAD18, CCNH, CHD1L, H4C2, UIMC1, USP1
Signaling by TGF-beta Receptor Complex	R-HSA-170834	28	2208	94	10987	0.015985985651369758	0.1765084736946578	1.4822116867098367	0	FBN1, CCNK, RPS27A, XPO1, TRIM33, LTBP1, PPP1CB, UBC, ITGB1, PARD3, STAT1, UBB, CDKN2B, UBE2M, UBE2D1, TGFB1, TGFBR3, SKI, SNW1, SMURF2, STRAP, UBE2D3, TFDP1, CDK8, ATP1B4, FKBP1A, CBL, PPM1A
S Phase	R-HSA-69242	44	2208	161	10987	0.015967844953362315	0.1765084736946578	1.3598996309298765	0	PSMD14, CDK7, CCND1, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, GMNN, ANAPC5, CDC26, ORC4, POLE4, UBC, ANAPC15, CABLES1, CKS1B, POLE2, PSMA5, UBB, RAD21, PSMC6, PSMA4, RFC4, PSMD3, PSMD4, PSMB4, UBE2D1, CDC27, PSMC1, RB1, UBE2E1, PSMA6, PSMC3, WEE1, PSMA7, RPA1, TFDP1, ANAPC16, LIN54, CCNH, PSMD6, CDKN1B, STAG1
Activation of NF-kappaB in B cells	R-HSA-1169091	21	2208	66	10987	0.016342580568169066	0.17951566593179527	1.583271574440053	0	PSMD14, PSME1, RPS27A, PSMB3, PSMC5, PSMD10, UBC, PSMA5, UBB, PSMC6, PSMA4, PSMD3, PSMD4, PSMB4, CHUK, PSMC1, BCL10, PSMA6, PSMC3, PSMA7, PSMD6
RNA Polymerase II Transcription Initiation And Promoter Clearance	R-HSA-76042	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
SUMO is proteolytically processed	R-HSA-3065679	4	2208	6	10987	0.017229941620725532	0.18199675453748182	3.317330917874396	0	SUMO3, SENP5, SUMO1, SENP1
RNA Polymerase II HIV Promoter Escape	R-HSA-167162	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
G1 Phase	R-HSA-69236	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, CCND1, RPS27A, UBC, CCND3, CKS1B, UBB, PPP2R3B, CDKN2B, RB1, PPP2R1B, CDKN1C, TFDP1, CCNH, PPP2R2A, CDKN1B
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	R-HSA-77346	4	2208	6	10987	0.017229941620725532	0.18199675453748182	3.317330917874396	0	HADHB, HADHA, ECHS1, HADH
RNA Polymerase II Promoter Escape	R-HSA-73776	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
RNA Polymerase II Transcription Initiation	R-HSA-75953	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
Purine catabolism	R-HSA-74259	8	2208	18	10987	0.016669235801337338	0.18199675453748182	2.2115539452495976	0	NT5E, NUDT5, NUDT15, DNPH1, NT5C2, NUDT18, NT5C, NT5C1A
Late Phase of HIV Life Cycle	R-HSA-162599	38	2208	136	10987	0.016867879066335124	0.18199675453748182	1.3903519288150044	0	CDK7, TAF7, CCNK, RCC1, RPS27A, VPS37D, POLR2G, POLR2J, XPO1, GTF2H1, GTF2A1, TAF13, UBC, POLR2B, UBAP1, POLR2K, SSRP1, NUP37, RAE1, SUPT5H, UBB, TSG101, POM121, NUP43, RAN, NUP62, TAF5, GTF2B, VPS37B, VPS4A, ERCC3, NUP214, GTF2A2, NUP133, POLR2C, CCNH, NUP155, TAF2
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	R-HSA-73779	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
HIV Transcription Initiation	R-HSA-167161	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, TAF7, POLR2G, POLR2J, GTF2H1, GTF2A1, TAF13, POLR2B, POLR2K, TAF5, GTF2B, ERCC3, GTF2A2, POLR2C, CCNH, TAF2
PDH complex synthesizes acetyl-CoA from PYR	R-HSA-9861559	4	2208	6	10987	0.017229941620725532	0.18199675453748182	3.317330917874396	0	DLD, PDHX, PDHA2, PDHA1
Cyclin D associated events in G1	R-HSA-69231	16	2208	47	10987	0.017678708676329768	0.18199675453748182	1.6939562133826704	0	CDK7, CCND1, RPS27A, UBC, CCND3, CKS1B, UBB, PPP2R3B, CDKN2B, RB1, PPP2R1B, CDKN1C, TFDP1, CCNH, PPP2R2A, CDKN1B
Cell Cycle Checkpoints	R-HSA-69620	73	2208	289	10987	0.017836289408363216	0.18273621504433663	1.256912579609849	0	DYNC1LI2, PSMD14, PSME1, CDC20, RPS27A, PAFAH1B1, NBN, PSMB3, PSMC5, PSMD10, UBE2V2, XPO1, ANAPC5, H2BC15, PPP2R5D, CDC26, H2BC7, ORC4, BRCA1, H2BC9, RHNO1, RBBP8, UBC, YWHAB, ANAPC15, YWHAQ, NUP37, DYNC1I2, PSMA5, UBB, PSMC6, H2BC14, PSMA4, RAD9A, RFC4, MAPRE1, TP53, PSMD3, CENPC, PSMD4, PSMB4, UBE2D1, CDC27, H4C5, PPP2R5A, SKA2, PSMC1, RAD1, UBE2E1, NUP43, RNF8, YWHAZ, PPP2R1B, KIF18A, ITGB3BP, PSMA6, PSMC3, CENPN, WEE1, PSMA7, H4C15, RPA1, PHF20, ZWILCH, NUP133, ZW10, H3-4, ANAPC16, DSN1, H4C2, PSMD6, CDKN1B, UIMC1
Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7 	R-HSA-9824878	7	2208	15	10987	0.01845847775713284	0.18554252877570793	2.3221316425120775	0	RPS27A, LY96, UBC, UBB, IKBKE, TANK, OPTN
Negative regulation of FLT3	R-HSA-9706369	7	2208	15	10987	0.01845847775713284	0.18554252877570793	2.3221316425120775	0	RPS27A, SOCS6, SH2B3, UBC, UBB, SLA, CBL
Mitochondrial biogenesis	R-HSA-1592230	28	2208	95	10987	0.01843733730748976	0.18554252877570793	1.4666094584286806	0	PRKAG3, PERM1, SIRT4, TBL1XR1, POLG2, ATP5F1E, MED1, MICOS10, ATP5MK, ACSS2, ATP5F1D, MAPK14, ATP5MC1, ATP5F1A, ESRRA, CRTC1, GLUD1, ATP5F1B, HCFC1, MAPK12, ATP5PD, SOD2, ALAS1, ATP5MG, POLRMT, ATP5PO, PRKAA2, CHCHD6
YAP1- and WWTR1 (TAZ)-stimulated gene expression	R-HSA-2032785	7	2208	15	10987	0.01845847775713284	0.18554252877570793	2.3221316425120775	0	CCN2, GATA4, TEAD3, TEAD4, KAT2B, NKX2-5, RUNX2
Amino acids regulate mTORC1	R-HSA-9639288	18	2208	55	10987	0.018763193315796012	0.18772002326742396	1.62850790513834	0	TCIRG1, KPTN, ATP6V0C, ATP6V1B1, ATP6V0E1, ATP6V1H, ATP6V1F, SESN2, ATP6V1C1, DEPDC5, RRAGA, CASTOR2, ATP6V0E2, SLC38A9, FNIP1, LAMTOR5, LAMTOR2, MLST8
